Dataset,Seed,Scaler,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
ontario,5555,zscore,SVR,0.8995079867035461,0.2055914423461789,0.3866595531243354,0.4490518195907843,0.4181730739759485,,,,,,,0.2642478783694999,0.43511223085829576,0.40910408453592795,0.4381740187336184
ontario,5555,robust,Explainable Model,0.7444603758381758,0.43744438527249574,0.48450262531938315,0.32217817583567804,0.33524302509976467,,,,,,134985.0,0.4311722446370685,0.509297298916875,0.5220913861698204,0.4754495715537692
ontario,5555,robust,SVR,0.8128966612767212,0.45466370522353083,0.483970353954427,0.3249386581861657,0.34298084398030965,,,,,,,0.39525701236640254,0.5069004815683296,0.5172396842518887,0.5164842376310868
ontario,5555,minmax,Explainable Model,0.6624763778950823,0.5383330844488547,0.40107962498728433,0.02799725902286644,0.10429964016523302,,,,,,134985.0,0.3943344067115938,0.4060565980438342,0.4439761130245322,0.35995138216917666
ontario,5555,minmax,SVR,0.882068617077187,0.016222700052822253,0.05397297757189967,0.04357073063051637,0.1437049911850209,,,,,,,-0.010075812387174699,0.19490546126097275,0.12072795195034347,-0.08966569053654316
ontario,7777,zscore,Explainable Model,0.879916129916298,0.7818090624413739,0.6247405706210203,0.42769168643795785,0.4579034356083107,,,,,,134985.0,0.5982022726348434,0.6351692440777057,0.6377077709353857,0.6278829948361464
ontario,7777,zscore,SVR,0.7352397500687647,0.5650339958628777,0.644552256824755,0.40382637658778076,0.45076055040761326,,,,,,,0.6233206531263381,0.6475195464689302,0.6800652991541983,0.6273035285495534
ontario,7777,robust,Explainable Model,0.8924032307430176,0.8096155610213889,0.5890635587198916,0.257896696480765,0.34932979264703673,,,,,,134985.0,0.5443770033607194,0.5869466115881448,0.6217182070556427,0.6032124128750593
ontario,7777,robust,SVR,0.6757509517971702,0.462677267841903,0.6218987865878602,0.2376824027308513,0.3483663685180437,,,,,,,0.5776790448427289,0.5847738389799595,0.6761514922918999,0.6489907702368525
ontario,7777,minmax,Explainable Model,0.5984209298206752,0.43459195745935214,0.6446202208702032,0.025779430180821787,0.10930306121134503,,,,,,134985.0,0.6118742661312107,0.6652999162580148,0.6926215826034215,0.6086851184881661
ontario,7777,minmax,SVR,0.6469076536337784,0.11394200717496844,0.6908191765418498,0.022183337412827457,0.11323499389183846,,,,,,,0.6776950018020822,0.6868424724603679,0.7487540860667217,0.6499851458382273
ontario,9999,zscore,Explainable Model,0.5923546611985624,0.3185615686684087,0.47483669164925946,0.5591628039815038,0.5530974031900202,,,,,,134985.0,0.48817872426985365,0.4386616867893244,0.5167673084754549,0.45573904706240453
ontario,9999,zscore,SVR,0.8271255687876706,0.5322911404317531,0.492726394875717,0.5401312407166492,0.5223944556555165,,,,,,,0.5178580653952757,0.4382982407763767,0.5258825035578878,0.4888667697733279
ontario,9999,robust,Explainable Model,0.5178100720765186,0.20583160839300624,0.38361105479924207,0.47151678990738644,0.5352443573287015,,,,,,134985.0,0.4160343323302915,0.3213443280986793,0.42433488634320093,0.37273067242479685
ontario,9999,robust,SVR,0.7581097643585284,0.3234846834586646,0.5140503576675847,0.3720187948944652,0.4401428320547495,,,,,,,0.5703259928929072,0.4595115208058521,0.5389794092156859,0.48738450775589326
